Customer_ID,feature_snapshot_date,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Utilization_Ratio,Monthly_Balance,credit_history_months,num_loan_types,log_Annual_Income,debt_to_income,emi_to_salary,investment_rate,has_credit_limit_change,balance_to_debt,inq_per_loan,Credit_Mix_vec,Payment_Behaviour_vec,Payment_of_Min_Amount_vec,Occupation_vec,Age_group_vec,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20
CUS_0x181e,2023-01-01,7.0,3.0,13.0,22,17.0,9.04,6.0,26.74922823976776,394.8688067440933,153,5,10.294046784668195,0.050354680956308906,0.030569462507292214,0.011279327643752508,1,0.26581042425860196,1.0,"(4,[0],[1.0])","(7,[6],[1.0])","(3,[0],[1.0])","(16,[12],[1.0])","(4,[0],[1.0])",58.0,152.0,187.0,140.0,40.0,252.0,142.0,260.0,138.0,191.0,167.0,130.0,53.0,185.0,-23.0,133.0,112.0,-105.0,64.0,-49.0
CUS_0x181f,2023-01-01,10.0,9.0,25.0,56,16.0,19.92,14.0,36.52909764240084,609.0048703965845,178,2,10.977804757921954,0.023510814404269408,0.01145998847173308,0.01846946965547425,1,0.4427415429031888,4.666666666666667,"(4,[0],[1.0])","(7,[1],[1.0])","(3,[0],[1.0])","(16,[9],[1.0])","(4,[0],[1.0])",169.0,213.0,25.0,47.0,226.0,86.0,29.0,197.0,60.0,132.0,52.0,63.0,231.0,88.0,21.0,209.0,26.0,44.0,59.0,113.0
CUS_0x182b,2023-01-01,8.0,4.0,9.0,14,18.0,17.52,3.0,29.54299503646419,494.6596431844754,320,4,11.561875235449515,0.006811960300432045,0.03947248517862625,0.03360650473712502,1,0.6919045230599765,0.6,"(4,[0],[1.0])","(7,[4],[1.0])","(3,[0],[1.0])","(16,[12],[1.0])","(4,[1],[1.0])",94.0,2.0,176.0,53.0,99.0,38.0,80.0,110.0,-144.0,158.0,38.0,48.0,160.0,12.0,105.0,109.0,-59.0,92.0,150.0,86.0
CUS_0x18c9,2023-01-01,0.0,7.0,5.0,0,15.0,2.46,1.0,26.620815733202683,455.9430895241264,260,1,10.347665552570506,0.02740878702520767,0.00859023870653654,0.027662910911935498,1,0.533986689015246,0.5,"(4,[2],[1.0])","(7,[6],[1.0])","(3,[2],[1.0])","(16,[0],[1.0])","(4,[1],[1.0])",205.0,-86.0,142.0,58.0,174.0,102.0,2.0,-60.0,48.0,171.0,114.0,253.0,258.0,103.0,193.0,80.0,-43.0,261.0,88.0,194.0
CUS_0x190e,2023-01-01,3.0,6.0,8.0,9,8.0,1.75,0.0,37.217016445715615,434.7634141876323,219,-1,10.590006313580759,0.027286770046310953,0.0,0.048618371422536846,1,0.40152904759010033,0.0,"(4,[2],[1.0])","(7,[4],[1.0])","(3,[1],[1.0])","(16,[7],[1.0])","(4,[2],[1.0])",83.0,189.0,32.0,97.0,179.0,122.0,-18.0,124.0,69.0,-12.0,45.0,91.0,151.0,194.0,-124.0,-25.0,185.0,119.0,16.0,125.0
CUS_0x1920,2023-01-01,6.0,5.0,16.0,19,20.0,0.0,5.0,32.88569540221571,382.79614207868906,67,-1,9.919816014648237,0.05046816778779345,0.0,0.04052823106049757,0,0.3737133557408022,5.0,"(4,[0],[1.0])","(7,[0],[1.0])","(3,[0],[1.0])","(16,[5],[1.0])","(4,[1],[1.0])",81.0,14.0,179.0,50.0,262.0,24.0,169.0,24.0,-13.0,275.0,189.0,61.0,206.0,234.0,234.0,252.0,258.0,77.0,28.0,115.0
CUS_0x1960,2023-01-01,5.0,6.0,20.0,30,9.0,1.97,4.0,34.46626402406045,448.2132955653229,287,1,10.395379255571106,0.01238437893441816,0.008245626608054302,0.028964845109858,1,1.1062459565230696,2.0,"(4,[0],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[2],[1.0])","(4,[1],[1.0])",27.0,250.0,77.0,193.0,236.0,108.0,158.0,12.0,131.0,186.0,3.0,108.0,176.0,211.0,192.0,257.0,138.0,105.0,261.0,103.0
CUS_0x19ad,2023-01-01,7.0,7.0,18.0,12,13.0,9.55,13.0,32.53179962256017,237.2831769300485,76,7,9.567625229879573,0.16460467468797285,0.050343910029125825,0.07872386565983405,1,0.10122780920845077,1.625,"(4,[2],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[11],[1.0])","(4,[1],[1.0])",-24.0,24.0,144.0,64.0,30.0,252.0,42.0,190.0,4.0,-53.0,-42.0,191.0,192.0,167.0,0.0,10.0,21.0,220.0,237.0,100.0
CUS_0x19d1,2023-01-01,7.0,10.0,22.0,54,16.0,9.03,6.0,33.23761065192596,292.9362566182518,83,4,8.869528934625617,0.31091982063940443,0.02010514902727655,0.01709865214164894,1,0.13286815924956236,1.2,"(4,[3],[1.0])","(7,[3],[1.0])","(3,[0],[1.0])","(16,[5],[1.0])","(4,[0],[1.0])",200.0,-1.0,126.0,251.0,8.0,67.0,113.0,191.0,123.0,-3.0,136.0,90.0,258.0,-40.0,255.0,29.0,241.0,261.0,48.0,197.0
CUS_0x19e1,2023-01-01,3.0,5.0,11.0,5,7.0,10.68,7.0,29.76283210112597,609.2301642224247,237,4,11.651801797917793,0.005403043737847938,0.036213208076197115,0.024221778955534644,1,0.981392994889715,1.4,"(4,[1],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[11],[1.0])","(4,[1],[1.0])",197.0,166.0,110.0,67.0,115.0,88.0,73.0,266.0,228.0,33.0,114.0,36.0,77.0,93.0,97.0,1.0,249.0,196.0,157.0,38.0
CUS_0x1a9c,2023-01-01,7.0,3.0,7.0,29,14.0,11.09,1.0,29.399538396248413,298.092167805374,268,3,9.79657027019005,0.07137714222123302,0.029894613396177605,0.05481928100527904,1,0.2329759289333723,0.25,"(4,[1],[1.0])","(7,[4],[1.0])","(3,[1],[1.0])","(16,[15],[1.0])","(4,[0],[1.0])",173.0,258.0,89.0,112.0,165.0,95.0,-58.0,55.0,173.0,258.0,148.0,28.0,112.0,23.0,165.0,80.0,85.0,148.0,165.0,-110.0
CUS_0x1ab3,2023-01-01,6.0,5.0,1.0,8,4.0,5.14,4.0,24.956494907196245,551.256722546445,220,4,11.312432442612165,0.0054552751026728675,0.033931251222533106,0.021018429439100518,1,1.23431389420778,0.8,"(4,[1],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[10],[1.0])","(4,[1],[1.0])",105.0,212.0,261.0,12.0,91.0,128.0,238.0,55.0,131.0,169.0,96.0,170.0,-131.0,-79.0,87.0,257.0,61.0,13.0,-69.0,29.0
CUS_0x1b42,2023-01-01,4.0,4.0,4.0,5,8.0,0.96,0.0,29.78880021018384,1105.3277929088354,371,1,12.037064707884268,0.004895428336361942,0.005055358482598733,0.036165317240755376,1,1.3364029195361848,0.0,"(4,[2],[1.0])","(7,[5],[1.0])","(3,[1],[1.0])","(16,[13],[1.0])","(4,[1],[1.0])",4.0,162.0,199.0,236.0,245.0,10.0,228.0,24.0,233.0,127.0,94.0,67.0,92.0,3.0,80.0,146.0,202.0,143.0,261.0,6.0
CUS_0x1b66,2023-01-01,6.0,7.0,9.0,17,21.0,9.09,6.0,23.56095999573437,254.4009076943901,108,4,10.830512070658347,0.023845271369489024,0.040637530770501605,0.06318417002843103,1,0.21175238796347828,1.2,"(4,[0],[1.0])","(7,[5],[1.0])","(3,[2],[1.0])","(16,[4],[1.0])","(4,[0],[1.0])",58.0,146.0,216.0,179.0,185.0,225.0,155.0,108.0,79.0,116.0,78.0,74.0,-17.0,115.0,195.0,-25.0,204.0,31.0,-6.0,41.0
CUS_0x1bc4,2023-01-01,7.0,3.0,14.0,24,11.0,14.13,2.0,37.96246602114074,316.1545151849536,300,3,10.362161618975435,0.019213325115757202,0.024047953182355104,0.06510101848171888,1,0.5208646989406366,0.5,"(4,[0],[1.0])","(7,[0],[1.0])","(3,[0],[1.0])","(16,[1],[1.0])","(4,[1],[1.0])",261.0,144.0,83.0,83.0,80.0,133.0,225.0,133.0,59.0,134.0,170.0,106.0,7.0,143.0,85.0,-37.0,123.0,-3.0,10.0,256.0
CUS_0x1c09,2023-01-01,5.0,5.0,11.0,20,12.0,13.65,2.0,30.58597494058668,664.8817952340961,275,-1,11.105396829252678,0.021957262701332525,0.0,0.02762812211431141,1,0.45552181915042833,2.0,"(4,[2],[1.0])","(7,[1],[1.0])","(3,[2],[1.0])","(16,[1],[1.0])","(4,[2],[1.0])",-93.0,258.0,261.0,155.0,76.0,67.0,61.0,-20.0,178.0,-12.0,200.0,24.0,-70.0,104.0,237.0,53.0,-38.0,4.0,-65.0,189.0
CUS_0x1c39,2023-01-01,2.0,5.0,7.0,1,9.0,1.78,7.0,35.34065425549447,362.2219733147269,338,1,9.809531205885992,0.05724619571635327,0.008420670363852783,0.04275011078574268,1,0.3481638852765175,3.5,"(4,[2],[1.0])","(7,[0],[1.0])","(3,[1],[1.0])","(16,[9],[1.0])","(4,[1],[1.0])",243.0,-12.0,41.0,67.0,98.0,19.0,140.0,173.0,55.0,64.0,170.0,-3.0,76.0,40.0,188.0,45.0,135.0,21.0,85.0,37.0
CUS_0x1c9c,2023-01-01,1.0,3.0,8.0,6,8.0,2.69,1.0,32.61044711910465,331.15997760881316,307,4,11.073284664164891,0.011037335716607288,0.03150130905144063,0.06064834278965095,1,0.46645130965989773,0.2,"(4,[1],[1.0])","(7,[0],[1.0])","(3,[1],[1.0])","(16,[13],[1.0])","(4,[0],[1.0])",19.0,-132.0,170.0,105.0,104.0,138.0,153.0,79.0,104.0,172.0,65.0,232.0,152.0,148.0,94.0,5.0,-5.0,192.0,60.0,99.0
CUS_0x1dcf,2023-01-01,5.0,5.0,3.0,31,10.0,10.56,2.0,39.40410366905613,372.10132501627515,240,2,10.604901717222742,0.019039200834076123,0.0208386926422519,0.08790161322914491,1,0.4852466868034116,0.6666666666666666,"(4,[1],[1.0])","(7,[1],[1.0])","(3,[1],[1.0])","(16,[15],[1.0])","(4,[1],[1.0])",52.0,77.0,98.0,261.0,-10.0,-134.0,265.0,45.0,152.0,167.0,85.0,253.0,203.0,25.0,213.0,211.0,64.0,-54.0,161.0,44.0
CUS_0x1ef5,2023-01-01,6.0,3.0,15.0,24,11.0,17.09,9.0,23.70443943485725,268.31355703720953,132,3,9.32278161004692,0.06802283990307473,0.015890598208669855,0.10271163564470794,1,0.3533463972253399,2.25,"(4,[2],[1.0])","(7,[0],[1.0])","(3,[0],[1.0])","(16,[9],[1.0])","(4,[3],[1.0])",72.0,29.0,79.0,261.0,46.0,75.0,61.0,-20.0,67.0,57.0,-46.0,198.0,138.0,136.0,255.0,171.0,73.0,49.0,200.0,-100.0
CUS_0x1ff5,2023-01-01,4.0,3.0,16.0,30,17.0,10.61,5.0,29.157899659606517,1126.6234745900165,201,4,11.90018098022878,0.007697499845206787,0.02008277838977458,0.007604574156376853,1,0.9936847122287088,1.0,"(4,[0],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[4],[1.0])","(4,[1],[1.0])",199.0,251.0,3.0,154.0,-6.0,219.0,105.0,-24.0,57.0,239.0,151.0,181.0,99.0,53.0,255.0,193.0,-12.0,125.0,158.0,3.0
CUS_0x1ff7,2023-01-01,7.0,4.0,17.0,25,17.0,0.96,5.0,25.81608055668325,292.4425243194844,230,-1,9.192716988402553,0.1255899304958317,0.0,0.054080896412076605,1,0.23761297881671017,5.0,"(4,[2],[1.0])","(7,[4],[1.0])","(3,[1],[1.0])","(16,[7],[1.0])","(4,[1],[1.0])",-58.0,5.0,261.0,152.0,28.0,75.0,79.0,24.0,72.0,127.0,75.0,227.0,136.0,181.0,89.0,86.0,37.0,-51.0,-122.0,116.0
CUS_0x205c,2023-01-01,7.0,4.0,16.0,20,13.0,12.71,8.0,28.247644241081773,302.9709902811528,209,-1,10.269443345849563,0.039924987421036874,0.0,0.09424202994645048,1,0.26378356426532984,8.0,"(4,[2],[1.0])","(7,[0],[1.0])","(3,[2],[1.0])","(16,[1],[1.0])","(4,[0],[1.0])",183.0,225.0,65.0,64.0,-4.0,120.0,68.0,121.0,146.0,-73.0,254.0,33.0,156.0,90.0,49.0,97.0,56.0,70.0,70.0,-12.0
CUS_0x210f,2023-01-01,4.0,7.0,10.0,6,16.0,7.300000000000002,1.0,33.34860848183656,309.947220816707,264,1,10.10140354820344,0.04549456049095056,0.004753955678026387,0.0864508962241795,1,0.2801250604188238,0.5,"(4,[0],[1.0])","(7,[0],[1.0])","(3,[0],[1.0])","(16,[5],[1.0])","(4,[0],[1.0])",50.0,234.0,24.0,150.0,89.0,41.0,96.0,-32.0,-17.0,210.0,151.0,134.0,258.0,114.0,38.0,-17.0,258.0,59.0,106.0,126.0
CUS_0x21dc,2023-01-01,5.0,2.0,11.0,3,0.0,3.82,3.0,30.53285250716433,1009.3231405045562,198,2,11.776258798200413,0.00918378827174023,0.018788768906147894,0.027656191562058414,1,0.8447164754856037,1.0,"(4,[1],[1.0])","(7,[3],[1.0])","(3,[1],[1.0])","(16,[7],[1.0])","(4,[1],[1.0])",179.0,258.0,-14.0,47.0,186.0,172.0,265.0,162.0,-118.0,201.0,144.0,142.0,72.0,156.0,208.0,156.0,-67.0,212.0,-33.0,-44.0
CUS_0x2274,2023-01-01,8.0,7.0,11.0,27,12.0,23.1,8.0,29.10149914643793,274.2674198221229,68,5,11.570554262606816,0.0023983271559527195,0.04529175315684563,0.053051792318705555,1,1.0792261421709517,1.3333333333333333,"(4,[0],[1.0])","(7,[4],[1.0])","(3,[0],[1.0])","(16,[10],[1.0])","(4,[1],[1.0])",40.0,98.0,140.0,86.0,-88.0,128.0,148.0,168.0,248.0,155.0,119.0,180.0,107.0,98.0,176.0,-4.0,258.0,147.0,-78.0,97.0
CUS_0x2297,2023-01-01,7.0,10.0,25.0,16,21.0,29.57,12.0,26.836540324736447,251.40095883738343,84,6,9.685686579202539,0.2267838970116955,0.03968418737221239,0.07912218864100966,1,0.06917027740283131,1.7142857142857142,"(4,[3],[1.0])","(7,[2],[1.0])","(3,[0],[1.0])","(16,[6],[1.0])","(4,[1],[1.0])",-79.0,-16.0,-13.0,80.0,-32.0,-45.0,-236.0,266.0,-11.0,109.0,-46.0,136.0,209.0,-44.0,139.0,257.0,201.0,261.0,76.0,93.0
